numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00507567820208060160,Roberto Buarque de Paula Costa Filho,2.625,2.5,8,Masculino
00507674820218060136,,2.8,4.0,5,Indeterminado
00507694920208060137,,2.6666666666666665,4.0,9,Indeterminado
00507873720208060051,Flávio Vieira da Silva Fernandes,2.3142857142857145,1.0,35,Masculino
00507894020208060040,Luigi Monteiro Sestari,2.2,1.0,5,Masculino
00507978120208060051,,2.3636363636363638,1.0,22,Indeterminado
00508036820208060090,Francisco de Assis Felix,2.1315789473684212,1.0,38,Masculino
00508093120208060040,Luigi Monteiro Sestari,2.2,1.0,5,Masculino
00508096520208060158,Wild,2.2,1.0,10,Indeterminado
00508329320208060163,,2.0,1.0,6,Indeterminado
00508510420218060054,Maria Creuza da Silva Pereira,1.411764705882353,1.0,51,Feminino
00508849120218060054,,2.0,1.0,9,Indeterminado
00508918020218060055,,1.75,1.0,4,Indeterminado
00509554520218060167,,2.0,1.0,9,Indeterminado
00509565720208060137,,2.5555555555555554,3.0,9,Indeterminado
00509703520218060160,,2.2,1.0,5,Indeterminado
00509755420218060064,,2.03125,1.0,32,Indeterminado
00509802220208060158,Wild,2.4545454545454546,1.0,11,Indeterminado
00510007620218060158,,1.8571428571428572,1.0,7,Indeterminado
00510751120218060128,Manuel Castro Gomes de Andrade Neto,2.024390243902439,1.0,41,Masculino
00511222320208060062,Luis Rafael de Souza e Silva,2.3870967741935485,1.0,31,Masculino
00511796520208060151,Henrique Jorge Holanda Silveira,2.1375,1.0,80,Masculino
00512209220218060055,,2.5,2.5,6,Indeterminado
00512332220208060154,Pedro Eduardo Teixeira Fernandes,2.230769230769231,1.0,26,Masculino
00512744020218060158,,2.125,1.0,8,Indeterminado
00512844220208060151,Wel,2.0,1.0,32,Indeterminado
00512940720218060166,Anne Virginia do Nascimento Patrício,1.7972972972972974,1.0,74,Feminino
00513019320218060070,Fel,2.0344827586206895,1.0,29,Indeterminado
00513061520218060071,,1.8571428571428572,1.0,7,Indeterminado
00513223320208060158,Lucas Sobreira de Barros Fonseca,2.054054054054054,1.0,37,Masculino
00513615820208060084,Paulo Ricardo de Lira Carmo,2.125,1.0,8,Masculino
00513659520208060084,Paulo Ricardo de Lira Carmo,2.125,1.0,8,Masculino
00514113420218060154,,3.0,4.0,7,Indeterminado
00514698320218060171,Sergio Augusto Furtado Neto Viana,2.375,1.0,24,Masculino
00515404520218060055,Antonio Eudes Matias Mendes,1.9090909090909092,1.0,22,Masculino
00515784620218060091,Dani,1.7391304347826086,1.0,23,Masculino
00516168320218060115,Ali,1.55,1.0,100,Masculino
00517677220218060075,,1.962962962962963,1.0,27,Indeterminado
00518734620218060071,,2.125,1.0,24,Indeterminado
00519811520208060167,Francisco Ferreira Dantas,2.0804597701149423,1.0,87,Masculino
00522691120218060075,,2.125,1.0,8,Indeterminado
00524184820218060029,Francisco Regios Pereira Neto,1.9230769230769231,1.0,26,Masculino
00548069220218060167,Maria Nailde Pinheiro Nogueira,2.152542372881356,1.0,59,Feminino
00552095120208060117,Raimundo Nonato Andrade Vieira de Oliveira,2.090909090909091,1.0,33,Masculino
00566604220218060064,Ricardo Bruno Fontenelle,1.8064516129032258,1.0,31,Masculino
00978498920158060070,Antônio Rogério Alencar do Vale,1.9473684210526316,1.0,95,Indeterminado
01123814220198060001,Antonio Carlos Farias Castro,1.6835443037974684,1.0,79,Masculino
01468078020198060001,Cláudio Augusto Marques de Sales,1.68,1.0,75,Masculino
01727405520198060001,Antonio Alexandre Quintela de Melo,2.2781065088757395,1.0,169,Masculino
01780089020198060001,Andre Eugenio de Oliveira Quezado,1.8835616438356164,1.0,146,Masculino
01804185820188060001,Francisca Gleuda Oliveira de Lima,1.5555555555555556,1.0,63,Feminino
02000041620258060299,Arthur Moura Costa,2.4186046511627906,1.0,43,Masculino
02000174920248060299,Francisco Antônio de Souza Ribeiro,2.0,1.0,34,Masculino
02000200620228060127,João Raimundo Vieira Chaves,2.142857142857143,1.0,28,Masculino
02000206220228060076,,2.25,2.0,4,Indeterminado
02000261720228060061,Francisco Eduardo Girão Braga,1.75,1.0,4,Masculino
02000614220228060104,Ana Celina Monte Studart Gurgel Carneiro,1.8955223880597014,1.0,67,Feminino
02000801020228060052,Jackson Fernandes Frutuoso,1.6702127659574468,1.0,94,Masculino
02000977820238060127,João Raimundo Vieira Chaves,2.0869565217391304,1.0,23,Masculino
02000988920248060301,Francisco Jeferson dos Santos,2.3055555555555554,1.0,36,Masculino
02002151720238060301,Antonio Vandemberg Francelino Freitas,2.0,1.0,35,Masculino
02002691520228060140,José de Lima Filho,1.8571428571428572,1.0,28,Masculino
02003587620228060095,Francisco Eduardo Girão Braga,1.55,1.0,20,Masculino
02003858220238060173,Rafael Costa Vasconcelos Santos,1.9,1.0,10,Masculino
02005065420228060300,David Ribeiro de Souza Belém,2.473684210526316,3.0,19,Masculino
02005520920238060300,Antônio Francisco Lourenço da Silva,1.7530864197530864,1.0,81,Indeterminado
02005563720238060303,,2.5,2.0,20,Indeterminado
02006026320238060032,Jefferson Grégory Magalhães Rodrigues,1.5609756097560976,1.0,41,Masculino
02006047420248060298,Jose Albani Souza Linhares Filho,2.0588235294117645,1.0,34,Masculino
02006084220238060300,Victor Emanuel Martins do Santos,1.734375,1.0,64,Masculino
02006239520248060293,Del,1.935483870967742,1.0,31,Feminino
02006518220238060298,Ricardo Martins Aragão,2.3846153846153846,2.0,65,Masculino
02006534320238060301,Lucas Bruniellison Rodrigues da Silva,1.803921568627451,1.0,51,Masculino
02006635520228060032,Manoel Marques dos Santos,3.1,4.0,10,Masculino
02006727420238060034,,2.090909090909091,1.0,11,Indeterminado
02006743820228060112,Francisco Valdir Braga de Sousa Filho,2.5098039215686274,3.0,51,Masculino
02006844820228060091,George Wayne de Oliveira Gurgel,2.236842105263158,1.0,38,Masculino
02007254520238060296,Roberto Nogueira Feijo,1.9473684210526316,1.0,19,Masculino
02007538520228060154,,2.0,1.0,9,Indeterminado
02007596820248060301,Antonio Vandemberg Francelino Freitas,1.8571428571428572,1.0,21,Masculino
02007764020228060151,Francisco Anderson de Sousa Costa,1.8070175438596492,1.0,57,Masculino
02007886120238060299,Flávio Ferreira Viana,2.0,1.0,19,Masculino
02008197520238060301,,2.4285714285714284,3.0,21,Indeterminado
02008313520228060298,Maria Vitória Lins Soares,1.8297872340425532,1.0,47,Feminino
02009228520228060182,,2.0,1.0,12,Indeterminado
02009649720248060301,Leandro Lima da Silva,2.3142857142857145,1.0,35,Masculino
02010619520228060001,Francisco Welligton Costa de Mesquita Filho,1.5666666666666667,1.0,60,Masculino
02010627620248060303,,2.16,1.0,25,Indeterminado
02011470220238060302,,2.0,1.0,6,Indeterminado
02011692920248060301,,2.066666666666667,1.0,30,Indeterminado
02011804020228060168,,2.0,1.0,8,Indeterminado
02011827120238060298,,1.7142857142857142,1.0,42,Indeterminado
02014437520228060167,Francisco Antonio Martins de Sousa,1.9024390243902438,1.0,41,Masculino
02015072720228060154,Joaquim Ferreira da Silva,2.0,1.0,27,Masculino
02016164820238060302,,1.4285714285714286,1.0,7,Indeterminado
02016179420228060293,Ama,2.1206896551724137,1.0,58,Indeterminado
02016196420228060293,##ED,1.9215686274509804,1.0,51,Indeterminado
02017292920238060293,Antonio Irineu Brandao Ferreira,2.0454545454545454,1.0,44,Masculino
02017878620248060296,Roberto Nogueira Feijo,1.9,1.0,20,Masculino
02018032020228060293,Sergio Augusto Furtado Neto Viana,1.7155963302752293,1.0,109,Masculino
02018681820248060043,,2.125,1.0,8,Indeterminado
02019078920258060298,,1.8888888888888888,1.0,9,Indeterminado
02021396220228060151,Jose Dalvanir Bezerra de Almeida Filho,2.1372549019607843,1.0,102,Masculino
02021899220238060300,Francisco Carlos de Castro,1.8409090909090908,1.0,44,Masculino
02021950820238060298,Antonio Sérgio da Araújo,1.9,1.0,40,Masculino
02021993620238060301,André Celestino Oliveira Inácio Magalhães,1.627906976744186,1.0,43,Masculino
02023877220228060298,Antonio Werton Vasconcelos Nogueira Neto,1.9090909090909092,1.0,22,Masculino
02026158620228060091,##US,2.5483870967741935,3.0,31,Indeterminado
02026513120228060091,Pedro Monteiro Chaves,1.875,1.0,48,Masculino
02030793720238060298,Antonio José Moura de Melo,1.7058823529411764,1.0,51,Masculino
02031622520248060296,Francisco Osanildo Ferreira do Nascimento,1.7894736842105263,1.0,133,Masculino
02032144020238060301,Val,1.9565217391304348,1.0,46,Feminino
02033411620258060298,,2.8333333333333335,3.5,6,Indeterminado
02034108820248060296,Roberto Nogueira Feijo,1.7647058823529411,1.0,17,Masculino
02035479820238060298,,1.7105263157894737,1.0,38,Indeterminado
02039793820238060001,Roberto Nogueira Feijo,2.3333333333333335,1.0,21,Masculino
02040088820238060001,Roberto Nogueira Feijo,2.0,1.0,15,Masculino
02042491620248060296,Roberto Nogueira Feijó,1.5555555555555556,1.0,18,Masculino
02043084720238060293,Francisco Jorge Gomes de Mesquita,1.6,1.0,25,Masculino
02045336720238060293,Francisco Milton de Souza,1.6727272727272726,1.0,110,Masculino
02049359320248060300,Francisco Gilmario Barros Lima,1.6896551724137931,1.0,58,Masculino
02050568220238060001,Roberto Nogueira Feijo,2.0625,1.0,16,Masculino
02050877820238060300,Fernando Antonio Medina de Lucena,1.8958333333333333,1.0,96,Masculino
02055811220248060298,José Jurandir Sousa Alves,1.875,1.0,32,Masculino
02058648720238060001,Roberto Nogueira Feijo,2.5714285714285716,2.0,28,Masculino
02059038420238060001,Roberto Nogueira Feijo,2.361111111111111,1.0,36,Masculino
02085175920238060293,Hamilton Figueiredo Cotelesse,1.6557377049180328,1.0,61,Masculino
02093475720258060001,Jose Alexandre Vieira Filho,1.75,1.0,28,Masculino
02097298920218060001,Carlos Ricardo Fernandes da Silva,1.7524752475247525,1.0,101,Masculino
02098452720238060001,Roberto Nogueira Feijo,2.1538461538461537,1.0,13,Masculino
02108360320238060001,Roberto Nogueira Feijo,1.9047619047619047,1.0,21,Masculino
02113366920238060001,,1.9090909090909092,1.0,33,Indeterminado
02120223220218060001,Roberto Nogueira Feijo,2.138888888888889,1.0,36,Masculino
02129129720238060001,Francisco José de Sousa Gonçalves,1.4343434343434343,1.0,99,Masculino
02130925020228060001,Fernando do Rego Spindola Rodrigues,1.8269230769230769,1.0,156,Masculino
02155397420238060001,Roberto Nogueira Feijo,1.878787878787879,1.0,33,Masculino
02162118220238060001,Roberto Nogueira Feijo,1.6764705882352942,1.0,34,Masculino
02180282120228060001,Francisco dos Santos Castelo Branco,1.8,1.0,80,Masculino
02190163720258060001,Roberto Nogueira Feijo,2.1724137931034484,1.0,29,Masculino
02206013220228060001,Francisco Alberto Menezes de Arruda,1.823008849557522,1.0,113,Masculino
02207306620248060001,Fernando do Rego Spindola Rodrigues,1.5632183908045978,1.0,87,Masculino
02208089420238060001,Francisco Antonio Soares Morais,1.7401129943502824,1.0,177,Masculino
02220193920218060001,João Fernando Holanda Cunha,2.2093023255813953,1.0,43,Masculino
02225964620238060001,Roberto Nogueira Feijo,1.8863636363636365,1.0,44,Masculino
02243363920238060001,Marina Barcellos Netto de Faria,1.988888888888889,1.0,90,Feminino
02255206420228060001,Andre Luiz Porto Guimaraes Ferreira,1.7850467289719627,1.0,107,Masculino
02281165520218060001,Henrique Lacerda de Vasconcelos,2.0166666666666666,1.0,60,Masculino
02282528120238060001,Francisco Bionor do Nascimento Júnior,1.76953125,1.0,256,Masculino
02290016920218060001,Marcos Evangelista de Paiva Neto,2.1785714285714284,1.0,56,Masculino
02302660920218060001,Roberto Nogueira Feijo,2.090909090909091,1.0,44,Masculino
02358724720238060001,Francisco Bionor do Nascimento Júnior,1.5891089108910892,1.0,202,Masculino
02372362520218060001,##to,1.9473684210526316,1.0,57,Indeterminado
02386956220218060001,,2.173076923076923,1.0,52,Indeterminado
02400729720238060001,Francisco Lardivan Gomes da Conceição,1.6235294117647059,1.0,85,Masculino
02401387720238060001,Andre Luiz Porto Guimaraes Ferreira,1.7410714285714286,1.0,112,Masculino
